"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"Muçum","4312609","-29.163","-51.87140000000","302","290","295","277","328","344","322","311","313","283","263"
"Muitos Capões","4312617","-28.31319999999","-51.18359999999","100","86","82","90","101","115","107","127","126","99","104"
"Muliterno","4312625","-28.32529999999","-51.7697","51","48","44","48","48","43","31","44","37","33","24"
"Não-Me-Toque","4312658","-28.45479999999","-52.81819999999","1.408","1.707","1.853","1.997","1.682","1.416","1.201","1.112","1.157","1.172","1.331"
"Nicolau Vergueiro","4312674","-28.52980000000","-52.46759999999","39","45","42","45","40","42","40","34","35","26","26"
"Nonoai","4312708","-27.3689","-52.77559999999","251","299","312","359","359","360","336","293","291","272","264"
"Nova Alvorada","4312757","-28.68220000000","-52.1631","156","158","157","173","181","201","197","206","205","200","195"
"Nova Araçá","4312807","-28.65370000000","-51.74580000000","533","514","552","517","551","593","687","516","559","678","671"
"Nova Bassano","4312906","-28.72909999999","-51.7072","1.138","1.311","1.356","1.388","1.319","1.058","601","540","589","606","591"
"Nova Boa Vista","4312955","-27.99259999999","-52.97840000000","39","40","85","87","74","84","76","84","92","106","93"
"Nova Bréscia","4313003","-29.2182","-52.0319","86","100","97","110","106","103","88","89","86","88","93"
"Nova Candelária","4313011","-27.61370000000","-54.10739999999","198","203","196","181","162","180","175","183","186","189","198"
"Nova Esperança do Sul","4313037","-29.40660000000","-54.82930000000","246","266","290","315","318","313","306","312","336","289","249"
"Nova Hartz","4313060","-29.5807","-50.90509999999","1.652","1.627","1.419","1.473","1.364","1.282","1.385","1.332","1.295","1.331","1.344"
"Nova Pádua","4313086","-29.0275","-51.30980000000","44","43","45","43","44","70","60","64","76","66","39"
"Nova Palma","4313102","-29.471","-53.46889999999","173","157","138","160","130","128","112","125","105","89","92"
"Nova Petrópolis","4313201","-29.37409999999","-51.11350000000","1.400","1.369","1.300","1.295","1.242","1.226","1.169","1.158","1.156","1.054","1.013"
"Nova Prata","4313300","-28.77990000000","-51.6113","1.499","1.495","1.485","1.618","1.638","1.569","1.436","1.484","1.462","1.377","1.360"
"Nova Ramada","4313334","-28.06670000000","-53.69919999999","40","42","43","37","34","31","33","33","30","37","42"
"Nova Roma do Sul","4313359","-28.98819999999","-51.40950000000","112","121","121","120","124","99","78","105","109","115","110"
"Nova Santa Rita","4313375","-29.85249999999","-51.28370000000","1.085","1.202","1.006","902","993","1.022","1.079","988","1.052","1.117","1.008"
"Novo Barreiro","4313490","-27.90769999999","-53.11030000000","72","122","108","91","69","88","66","69","48","35","24"
"Novo Cabrais","4313391","-29.73379999999","-52.94890000000","47","45","31","47","34","45","38","49","53","49","51"
"Novo Hamburgo","4313409","-29.6876","-51.13280000000","16.431","16.587","15.916","15.656","14.680","13.616","12.810","12.482","11.866","11.448","10.723"
"Novo Machado","4313425","-27.57649999999","-54.50359999999","42","43","42","35","46","49","52","48","51","54","36"
"Novo Tiradentes","4313441","-27.56490000000","-53.18370000000","25","39","31","36","42","46","35","33","32","28","25"
"Novo Xingu","4313466","-27.74309999999","-53.06159999999","34","31","22","33","24","20","16","18","10","24","17"
"Osório","4313508","-29.88810000000","-50.2667","2.058","2.160","2.182","2.436","2.335","2.284","2.179","2.089","2.219","2.133","1.959"
"Paim Filho","4313607","-27.7075","-51.76299999999","72","73","74","76","74","78","66","80","79","83","72"
"Palmares do Sul","4313656","-30.25349999999","-50.51030000000","349","323","305","310","315","283","271","277","269","273","291"
"Palmeira das Missões","4313706","-27.90060000000","-53.31340000000","909","956","913","973","1.088","1.013","975","892","849","854","742"
"Palmitinho","4313805","-27.3596","-53.558","172","185","227","212","281","262","222","215","213","224","202"
"Panambi","4313904","-28.28330000000","-53.50229999999","3.240","3.504","3.265","3.749","3.512","2.543","2.154","2.155","2.157","2.095","2.025"
"Pantano Grande","4313953","-30.19010000000","-52.37290000000","259","271","276","313","308","327","301","279","317","365","280"
"Paraí","4314001","-28.59639999999","-51.7896","453","460","476","477","484","456","410","411","371","363","376"
"Paraíso do Sul","4314027","-29.67170000000","-53.14399999999","86","88","84","75","68","69","83","74","87","63","59"
"Pareci Novo","4314035","-29.63650000000","-51.39739999999","151","175","166","134","133","144","155","143","135","117","107"
"Parobé","4314050","-29.62430000000","-50.83120000000","3.332","3.241","3.020","2.912","2.814","2.439","2.375","2.318","2.344","2.194","2.268"
"Passa Sete","4314068","-29.45769999999","-52.95989999999","14","28","29","26","27","27","19","15","15","14","13"
"Passo do Sobrado","4314076","-29.74800000000","-52.27479999999","114","135","162","163","161","135","132","124","128","113","118"
"Passo Fundo","4314100","-28.2576","-52.40910000000","10.471","11.361","11.464","11.708","11.159","10.374","9.733","9.822","10.090","10.230","9.690"
"Paulo Bento","4314134","-27.69780000000","-52.42609999999","72","73","55","58","72","72","77","89","88","90","95"
"Paverama","4314159","-29.54850000000","-51.73389999999","277","306","320","282","239","260","273","263","259","201","227"
"Pedras Altas","4314175","-31.72169999999","-53.58379999999","32","22","28","37","42","24","22","21","12","17","20"
"Pedro Osório","4314209","-31.8642","-52.81839999999","118","137","125","121","118","110","103","117","122","124","128"
"Pejuçara","4314308","-28.4283","-53.65789999999","106","98","102","91","97","90","80","83","82","77","71"
"Pelotas","4314407","-31.76490000000","-52.3371","10.292","11.238","11.544","11.790","11.674","10.244","9.391","9.168","8.880","8.352","7.692"
"Picada Café","4314423","-29.44640000000","-51.13669999999","834","794","740","672","571","466","469","458","493","530","627"
"Pinhal","4314456","-27.50799999999","-53.20819999999","172","161","167","152","154","148","132","132","133","142","146"
"Pinhal da Serra","4314464","-27.86339999999","-51.17020000000","38","73","51","57","52","50","43","42","39","41","22"
"Pinhal Grande","4314472","-29.34499999999","-53.32070000000","54","46","41","45","35","35","28","32","41","37","23"
"Pinheirinho do Vale","4314498","-27.21089999999","-53.60799999999","79","99","69","69","67","70","65","73","87","65","65"
"Pinheiro Machado","4314506","-31.5794","-53.37980000000","235","213","192","197","190","158","139","141","146","124","106"
"Pinto Bandeira","4314548","-29.10","-54.45","0","0","0","38","35","14","41","60","63","50","55"
"Pirapó","4314555","-28.04390000000","-55.20009999999","29","28","23","23","17","15","15","22","22","23","16"
"Piratini","4314605","-31.44729999999","-53.09729999999","324","350","337","315","307","297","306","272","341","298","303"
"Planalto","4314704","-27.32969999999","-53.05750000000","194","209","179","173","178","155","163","174","191","209","188"
"Poço das Antas","4314753","-29.4481","-51.67190000000","68","62","138","185","199","212","226","239","217","191","212"
"Pontão","4314779","-28.05849999999","-52.67909999999","39","61","50","69","59","68","62","70","70","52","39"
"Ponte Preta","4314787","-27.6587","-52.4848","24","38","48","34","35","30","29","23","25","31","25"
"Portão","4314803","-29.70149999999","-51.24289999999","1.499","1.494","1.649","1.412","1.726","1.284","1.330","1.293","1.131","1.210","1.215"
"Porto Alegre","4314902","-30.032778","-51.23000000000","98.886","98.331","100.891","96.566","93.085","83.768","74.601","71.514","72.659","70.602","62.202"
"Porto Lucena","4315008","-27.8569","-55.00999999999","85","91","76","98","85","84","71","60","56","51","44"
"Porto Mauá","4315057","-27.57959999999","-54.66570000000","35","41","36","30","27","21","22","31","31","24","23"
"Porto Vera Cruz","4315073","-27.74050000000","-54.8994","15","21","23","20","14","16","14","16","14","9","8"
"Porto Xavier","4315107","-27.90820000000","-55.13790000000","214","210","185","184","190","173","178","184","182","177","185"
"Pouso Novo","4315131","-29.1738","-52.2136","58","56","36","42","42","48","42","52","55","46","36"
"Presidente Lucena","4315149","-29.51760000000","-51.1798","178","223","256","308","341","339","343","397","382","401","500"
"Progresso","4315156","-29.24419999999","-52.31969999999","109","127","144","130","142","142","133","125","126","122","107"
"Protásio Alves","4315172","-28.75720000000","-51.47570000000","50","49","62","65","74","62","59","43","38","34","27"
"Putinga","4315206","-29.0045","-52.1569","99","105","130","145","148","145","125","127","140","114","108"
