"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"São José do Herval","4318465","-29.052","-52.29500000000","37","41","51","51","58","54","63","60","71","55","43"
"São José do Hortêncio","4318481","-29.52799999999","-51.24500000000","226","185","215","205","169","163","138","117","113","118","89"
"São José do Inhacorá","4318499","-27.72510000000","-54.12749999999","83","100","112","120","132","110","101","117","114","138","155"
"São José do Norte","4318507","-32.01509999999","-52.03309999999","395","475","516","540","624","839","799","568","384","409","532"
"São José do Ouro","4318606","-27.77070000000","-51.59660000000","296","306","271","326","269","233","222","237","225","204","201"
"São José do Sul","4318614","-29.529","-51.48709999999","43","57","65","62","58","63","58","54","45","57","54"
"São José dos Ausentes","4318622","-28.74759999999","-50.06770000000","84","89","110","116","117","115","116","146","134","122","129"
"São Leopoldo","4318705","-29.7545","-51.14979999999","12.520","11.292","11.156","10.446","10.243","8.691","8.359","8.615","8.683","8.830","8.945"
"São Lourenço do Sul","4318804","-31.35640000000","-51.97149999999","851","861","911","944","973","867","845","818","804","744","688"
"São Luiz Gonzaga","4318903","-28.41199999999","-54.9559","898","990","1.024","1.075","1.045","1.019","992","1.020","999","977","886"
"São Marcos","4319000","-28.96770000000","-51.06960000000","1.302","1.361","1.326","1.353","1.285","1.224","1.133","1.147","1.202","1.209","1.225"
"São Martinho","4319109","-27.71120000000","-53.96990000000","148","164","204","210","230","212","210","198","201","186","177"
"São Martinho da Serra","4319125","-29.5397","-53.85900000000","24","22","24","24","25","27","26","35","25","27","21"
"São Miguel das Missões","4319158","-28.55600000000","-54.55590000000","120","141","145","170","155","156","169","174","190","164","154"
"São Nicolau","4319208","-28.18339999999","-55.2654","34","50","48","61","59","62","46","64","64","60","66"
"São Paulo das Missões","4319307","-28.01950000000","-54.94039999999","79","73","103","119","107","98","110","116","100","101","81"
"São Pedro da Serra","4319356","-29.4193","-51.51339999999","118","120","128","132","104","104","116","99","92","103","95"
"São Pedro das Missões","4319364","-27.77321999999","-53.25047","16","19","17","20","14","15","11","9","8","10","15"
"São Pedro do Butiá","4319372","-28.12430000000","-54.89260000000","99","107","119","112","127","114","100","113","113","105","104"
"São Pedro do Sul","4319406","-29.62020000000","-54.18549999999","310","287","245","261","254","227","212","199","189","211","195"
"São Sebastião do Caí","4319505","-29.5885","-51.37489999999","1447","1578","2785","1782","1685","1525","1300","1339","1300","1348","1333"
"São Sepé","4319604","-30.16430000000","-53.56029999999","487","423","387","483","518","476","477","447","381","357","352"
"São Valentim","4319703","-27.55829999999","-52.52369999999","80","69","79","66","72","98","72","62","48","54","43"
"São Valentim do Sul","4319711","-29.04510000000","-51.7684","53","55","67","74","67","64","61","53","59","62","79"
"São Valério do Sul","4319737","-27.79060000000","-53.93679999999","21","12","13","15","16","19","17","27","26","19","18"
"São Vendelino","4319752","-29.37290000000","-51.3675","169","205","226","228","151","108","112","94","105","87","88"
